Country,Score
Albania,62.3
Algeria,45.7
Argentina,47.2
Armenia,63.8
Australia,88.8
Austria,87.6
Azerbaijan,56.4
Bahrain,66.4
Bangladesh,43.3
Belarus,56.0
Belgium,80.5
Benin,53.6
Bhutan,64.2
Bolivia,29.2
Bosnia and Herzegovina,58.7
Botswana,68.3
Brazil,55.3
Bulgaria,67.8
Burkina Faso,53.2
Burundi,48.0
Cambodia,51.1
Cameroon,43.0
Canada,91.7
Chile,73.6
China,55.2
Colombia,58.2
Costa Rica,66.7
Cote d'Ivoire,49.4
Croatia,70.9
Cyprus,81.6
Czechia,76.1
Denmark,91.6
Dominican Republic,53.6
Ecuador,44.6
"Egypt, Arab Rep.",39.0
El Salvador,55.2
Estonia,81.2
Ethiopia,46.2
Finland,94.3
France,80.4
Georgia,69.2
Germany,84.1
Ghana,45.3
Greece,67.1
Guatemala,48.0
Guinea,42.4
Honduras,43.5
"Hong Kong SAR, China",92.8
Hungary,71.3
Iceland,86.4
India,50.7
Indonesia,41.6
"Iran, Islamic Rep.",45.9
Ireland,88.1
Israel,67.0
Italy,72.8
Jamaica,65.3
Japan,87.1
Jordan,62.6
Kazakhstan,66.5
Kenya,52.7
"Korea, Rep.",75.4
Kuwait,57.0
Kyrgyz Republic,49.4
Latvia,77.7
Lebanon,52.1
Lithuania,73.3
Luxembourg,82.1
Madagascar,49.0
Malawi,51.6
Malaysia,70.9
Mali,43.1
Malta,78.7
Mauritius,80.5
Mexico,60.5
Moldova,58.7
Mongolia,64.8
Montenegro,69.2
Morocco,57.5
Mozambique,46.1
Namibia,64.7
Nepal,46.6
Netherlands,91.0
New Zealand,93.5
Nicaragua,51.8
Niger,46.8
Nigeria,36.2
North Macedonia,71.4
Norway,91.9
Oman,71.0
Pakistan,37.1
Panama,59.6
Paraguay,47.9
Peru,60.4
Philippines,53.4
Poland,75.3
Portugal,79.1
Qatar,75.0
Romania,69.0
Russian Federation,57.9
Rwanda,63.5
Saudi Arabia,57.9
Senegal,53.8
Serbia,65.7
Singapore,94.9
Slovak Republic,75.0
Slovenia,80.8
South Africa,69.1
Spain,75.3
Sri Lanka,44.3
Sweden,88.3
Switzerland,90.3
Tajikistan,46.6
Tanzania,54.1
Thailand,54.7
Togo,48.8
Tunisia,58.3
Turkiye,54.6
Uganda,53.7
Ukraine,48.7
United Arab Emirates,80.9
United Kingdom,87.6
United States,85.7
Uruguay,69.0
"Venezuela, RB",16.0
Vietnam,51.7
"Yemen, Rep.",32.2
Zambia,47.4
