Country,GDP
Aruba,2983635196.0
Africa Eastern and Southern,829829959319.0
Afghanistan,18116572395.0
Africa Western and Central,692181085843.0
Angola,52761617226.0
Albania,11861199831.0
Andorra,2896610480.0
Arab World,2499965913230.0
United Arab Emirates,369255326236.0
Argentina,557532320663.0
Armenia,10546136236.0
American Samoa,671000000.0
Antigua and Barbuda,1489692593.0
Australia,1207580901579.0
Austria,395837353031.0
Azerbaijan,37866996883.0
Burundi,2644487777.0
Belgium,476062757357.0
Benin,11821065853.0
Burkina Faso,12833363045.0
Bangladesh,265224514653.0
Bulgaria,53964253212.0
Bahrain,32250132979.0
"Bahamas, The",11745100000.0
Bosnia and Herzegovina,17116926328.0
Belarus,47723545321.0
Belize,2240593543.0
Bermuda,6899911000.0
Bolivia,33941126194.0
Brazil,1795693482653.0
Barbados,4848210350.0
Brunei Darussalam,11400466356.0
Bhutan,2322730512.0
Botswana,15082637184.0
Central African Republic,1825018145.0
Canada,1527994741907.0
Central Europe and the Baltics,1316821592128.0
Switzerland,687895460903.0
Channel Islands,9072059721.0
Chile,249344863933.0
China,11233313730349.0
Cote d'Ivoire,48407761037.0
Cameroon,33814337041.0
"Congo, Dem. Rep.",37134801555.0
"Congo, Rep.",10931328150.0
Colombia,282720100286.0
Comoros,1012835493.0
Cabo Verde,1849789986.0
Costa Rica,58847019610.0
Caribbean small states,33451252507.0
Cuba,91370407864.0
Curacao,3024690168.0
Cayman Islands,4909322200.0
Cyprus,21046452116.0
Czechia,196272068576.0
Germany,3469853463946.0
Djibouti,2604955229.0
Dominica,576229629.6
Denmark,313115929314.0
Dominican Republic,75704647878.0
Algeria,180763839522.0
East Asia & Pacific (excluding high income),13614572556662.0
Early-demographic dividend,10537028724317.0
East Asia & Pacific,22776012762510.0
Europe & Central Asia (excluding high income),1447395306948.0
Europe & Central Asia,20408605606979.0
Ecuador,97671433000.0
"Egypt, Arab Rep.",332441717791.0
Euro area,12025904489800.0
Spain,1233554967012.0
Estonia,24072829277.0
Ethiopia,74296745208.0
European Union,13888833465038.0
Fragile and conflict affected situations,1490633651212.0
Finland,240771351299.0
Fiji,4930213644.0
France,2472964344587.0
Faroe Islands,2813278869.0
"Micronesia, Fed. Sts.",325000000.0
Gabon,14023890265.0
United Kingdom,2689106566900.0
Georgia,15444548902.0
Ghana,56164929305.0
Guinea,8595955600.0
"Gambia, The",1484578886.0
Guinea-Bissau,1245074264.0
Equatorial Guinea,11240808848.0
Greece,193148146587.0
Grenada,1061640741.0
Greenland,2707139544.0
Guatemala,66053403469.0
Guam,5901000000.0
Guyana,4482697337.0
High income,50737236574100.0
"Hong Kong SAR, China",320860317563.0
Honduras,21717604952.0
Heavily indebted poor countries (HIPC),674512464052.0
Croatia,52740059263.0
Haiti,14069277526.0
Hungary,128609822750.0
IBRD only,26027770587219.0
IDA & IBRD total,28169507573194.0
