Country,GDP
Panama,0.0007555502086243
Togo,7.872699084004215e-05
South Asia (IDA & IBRD),0.039314198672005
Latvia,0.0003661405512475
Burkina Faso,0.0001670201055912
Ukraine,0.0012183926196508
"Egypt, Arab Rep.",0.0043401072912484
South Asia,0.039314198672005
Armenia,0.0001371560649753
"Iran, Islamic Rep.",0.0059789138290173
Algeria,0.0023596677916143
Kyrgyz Republic,8.841420722175614e-05
Guyana,5.798648509828621e-05
Belarus,0.0006225769469539
Fiji,6.382965076771457e-05
Benin,0.0001538026650041
Madagascar,0.000154162355935
Low & middle income,0.3340803904051892
Nigeria,0.0052829105763017
Nauru,7.300476181305542e-07
Zambia,0.0002731078827678
Middle income,0.3290666256591892
Philippines,0.0041597302505437
Guatemala,0.0008619076622386
Malawi,0.0001027346412194
Burundi,3.398520776783353e-05
Vanuatu,9.652434448400078e-06
Other small states,0.002078113337757
Jordan,0.0005203286138404
Faroe Islands,3.618909240544904e-05
Pakistan,0.0040944849952552
Channel Islands,0.0001179092282638
Maldives,5.7036535711769854e-05
Mongolia,0.0001454499818509
Thailand,0.0053967303100432
Serbia,0.0005307755591416
Ghana,0.0007327950648778
East Asia & Pacific (IDA & IBRD countries),0.1775454311561377
Iceland,0.0002709503054566
Uruguay,0.0007499760758322
Croatia,0.0006880769557527
Palau,3.444079347461017e-06
Equatorial Guinea,0.0001462263202809
United States,0.2455329048214282
Lithuania,0.0005615199054169
World,1.0
Morocco,0.0014562507731314
Gabon,0.0001825646738485
Late-demographic dividend,0.2427734739350721
Spain,0.0161058327402546
Afghanistan,0.0002360023237036
Kazakhstan,0.0017918826845179
Tajikistan,9.075557589781387e-05
Netherlands,0.0102368375667184
French Polynesia,7.123058715065116e-05
Heavily indebted poor countries (HIPC),0.0088064831747712
Virgin Islands (U.S.),4.904647573789565e-05
Pacific island small states,0.0001239172435159
Brazil,0.0234456065645343
Post-demographic dividend,0.5966125767827654
Norway,0.0048429907122425
Malta,0.0001518043061315
Malaysia,0.0039329196316826
Albania,0.0001543266894446
Djibouti,3.346903612517956e-05
Moldova,0.0001036623122431
Trinidad and Tobago,0.00030908296231
Lao PDR,0.0002072240425948
Europe & Central Asia,0.2664721229880989
Luxembourg,0.0008118147156579
Guinea-Bissau,1.5713236738863336e-05
Turks and Caicos Islands,1.2937053850938022e-05
Mali,0.0001825928515176
Brunei Darussalam,0.0001483109488297
Antigua and Barbuda,1.8907188332957384e-05
Canada,0.0199502968580296
Bolivia,0.0004426215866131
Cameroon,0.0004409661161543
Cambodia,0.0002608126822484
Italy,0.0245081518308114
Bahrain,0.0004205424950883
Somalia,9.595718160786684e-05
High income,0.6624693469905822
New Zealand,0.0024658772615673
Jamaica,0.0001832593834605
Curacao,3.894946387152402e-05
Israel,0.0042051131810432
Kuwait,0.0014279660126852
Honduras,0.0002830205652345
Tanzania,0.0006493548279824
Chad,0.0001313019076215
France,0.032288649348575
Cote d'Ivoire,0.0006315106678478
Lebanon,0.0006672806074818
Montenegro,5.660550146598362e-05
"Micronesia, Fed. Sts.",3.6999396396598415e-06
Mauritania,8.300411885998832e-05
Belize,2.8711610168654064e-05
Samoa,1.04754772226792e-05
Sao Tome and Principe,3.272552417438008e-06
Kenya,0.0009763086385442
Romania,0.0024187343774763
"Macao SAR, China",0.0005879404892971
Aruba,3.841341412496195e-05
IBRD only,0.3398408726622698
Poland,0.006136510143622
Peru,0.0025050465257819
Haiti,0.0001831572897625
Central Europe and the Baltics,0.017193034877197
East Asia & Pacific (excluding high income),0.1777632646613476
Syrian Arab Republic,0.0001639451043461
Paraguay,0.000470675254844
American Samoa,8.217619308531015e-06
South Africa,0.0042244728653713
El Salvador,0.0003153209962279
Bermuda,8.95477481637565e-05
Turkmenistan,0.0004717162581295
Angola,0.0006883584354381
St. Kitts and Nevis,1.2602360625631386e-05
Bhutan,2.9784062523896845e-05
Mexico,0.0145217531552134
Papua New Guinea,0.0002705025710465
Lesotho,2.706426192340562e-05
Early-demographic dividend,0.137580151362374
Sri Lanka,0.0011486220553639
Liberia,4.382920334148117e-05
Tunisia,0.0005786604961821
Russian Federation,0.0166702996303186
Estonia,0.0003137724410978
Saudi Arabia,0.0086953369730957
Europe & Central Asia (excluding high income),0.0188979198966516
"Congo, Rep.",0.0001421854686703
New Caledonia,0.0001133720838456
Myanmar,0.0008259354227893
China,0.1466714594996301
"Korea, Rep.",0.0195805924379117
North Macedonia,0.0001388055512581
"Bahamas, The",0.0001528107881554
Qatar,0.001980604989484
Middle East & North Africa (IDA & IBRD countries),0.0193407309940803
Georgia,0.0002011140398624
Chile,0.0032551218368511
Sweden,0.0067322964123739
Cabo Verde,2.3608935937493836e-05
"Hong Kong SAR, China",0.0041888903653897
Rwanda,0.0001129895583289
Mozambique,0.0001570405798234
"Congo, Dem. Rep.",0.0004843210150737
Monaco,8.387759777000099e-05
Oman,0.0009804032030158
Africa Western and Central,0.0090371802078411
IDA only,0.0151011560554342
Cyprus,0.0002742574047666
Low income,0.0050099223789691
Turkiye,0.0113547994386154
Sudan,0.0005560760582499
Upper middle income,0.2598970508279259
Caribbean small states,0.0004362253658152
Mauritius,0.0001638968014718
United Kingdom,0.0351107919015463
Central African Republic,2.3285493040250457e-05
Viet Nam,0.0033563274875516
Arab World,0.0326412055268585
Nicaragua,0.0001729316792719
Seychelles,1.9936341287722055e-05
Iraq,0.0021766066877928
Guam,7.65050894478265e-05
Guinea,0.0001116927950045
Tonga,4.947507487626024e-06
Tuvalu,0.0
Greenland,3.480324422446577e-05
United Arab Emirates,0.0048207780727795
Australia,0.0157666925456748
Dominican Republic,0.0009879227797122
Europe & Central Asia (IDA & IBRD countries),0.0455183198381852
Latin America & Caribbean,0.0689829998324911
Belgium,0.0062153496336456
North America,0.2655738365188185
European Union,0.1813442557877534
Latin America & the Caribbean (IDA & IBRD countries),0.0659850072897968
Liechtenstein,8.089614396112658e-05
Small states,0.0026393430382852
Uganda,0.0003807693618635
East Asia & Pacific,0.2973830685790889
Czechia,0.0025621568410289
India,0.0299623386351909
Cuba,0.0011924686912329
Slovak Republic,0.0011739578468991
Nepal,0.000319664751549
Slovenia,0.0005839700769301
Portugal,0.0026947374700364
Austria,0.0051678563444822
San Marino,1.862842187979407e-05
Timor-Leste,2.1034298725810553e-05
Sint Maarten (Dutch part),1.8088843485931797e-05
Niger,0.000135233123059
Denmark,0.0040877728355043
Eswatini,4.928175013635104e-05
Costa Rica,0.0007678147898517
Grenada,1.331816767109885e-05
Bulgaria,0.0007040611063716
Dominica,6.980214176833124e-06
Singapore,0.0041653047656673
Northern Mariana Islands,1.551641391806566e-05
Kosovo,8.671135418959332e-05
Pre-demographic dividend,0.0151868108235452
West Bank and Gaza,0.0002006028774386
Libya,0.0006511522942576
Switzerland,0.0089812233273213
Middle East & North Africa (excluding high income),0.0195418774171174
Sub-Saharan Africa (IDA & IBRD countries),0.0198721684617144
Uzbekistan,0.0011241535506973
Africa Eastern and Southern,0.0108344447082617
Cayman Islands,6.355687373935571e-05
Middle East & North Africa,0.0422287750152024
St. Lucia,2.3853810601098743e-05
