Country,GCI,GII,GDP,HCI,NRR,WGI
Afghanistan,,,0.0002360023237036,0.1624365482233503,0.0138514764415013,0.0500754982469427
Africa Eastern and Southern,,,0.0108344447082617,,0.1599385369183273,
Africa Western and Central,,,0.0090371802078411,,0.1412484135993139,
Albania,0.3899993287304897,0.5868187579214195,0.0001543266894446,0.5549915397631134,0.0237508712887038,0.66597939996511
Algeria,0.4098033792145438,0.376425855513308,0.0023596677916143,0.3891708967851101,0.2877078766807014,0.3708835073150044
American Samoa,,,8.217619308531015e-06,,,0.8345762169054629
Andorra,,,,,,0.8806096724845426
Angola,,,0.0006883584354381,0.1150592216582064,0.4687397033112544,0.5306622394041345
Anguilla,,,,,,0.8603422073176552
Antigua and Barbuda,,,1.8907188332957384e-05,,,0.7731201249817916
Arab World,,,0.0326412055268585,,0.3249725567424763,
Argentina,0.3189585653955025,0.3954372623574144,,0.5380710659898478,0.0208600965147331,0.6372954357810116
Armenia,0.5453295979399888,0.6058301647655259,0.0001371560649753,0.4720812182741116,,
Aruba,,,3.841341412496195e-05,,6.938349716556432e-05,0.8555613003199564
Australia,0.8684600007881933,0.9226869455006336,0.0157666925456748,0.8629441624365483,,0.8088831681120002
Austria,0.881276876648457,0.9074778200253484,0.0051678563444822,0.8460236886632826,0.0024865716849158,0.779880833955723
Azerbaijan,0.5357045952010159,0.512040557667934,,0.5143824027072759,0.3318377138472999,0.4305998070082258
"Bahamas, The",,,0.0001528107881554,,0.0003855273744143,0.7937954023331178
Bahrain,0.7873159204496982,0.6387832699619772,0.0004205424950883,0.634517766497462,,
Bangladesh,0.4526936927950157,0.3460076045627376,0.0034624604935174,0.3147208121827411,0.0160673903839583,0.338032805174822
Barbados,0.6712121651882479,,,,0.0021638729096205,0.7938087056115671
Belarus,,0.5069708491761723,0.0006225769469539,,0.027887040622709,
Belgium,0.8431145523415774,0.8174904942965779,0.0062153496336456,0.7851099830795263,0.0006761401647441,0.6849021019449193
Belize,,,2.8711610168654064e-05,,0.0158820779728043,0.6074077620187164
Benin,0.4531932154001598,0.476552598225602,0.0001538026650041,0.1912013536379019,,0.594888262144761
Bermuda,,,8.95477481637565e-05,,,0.7970129599388226
Bhutan,,0.6108998732572877,2.9784062523896845e-05,,0.0995648836619313,0.8238031069751749
Bolivia,0.2889157522639378,0.1673003802281368,0.0004426215866131,,,0.5446048829616236
Bosnia and Herzegovina,0.3082706987560226,0.541191381495564,,0.5499153976311337,0.0234922187817658,0.5140134067184763
Botswana,0.6977746359231318,0.6628643852978453,,0.22165820642978,0.0171032226089336,0.7977489359763748
Brazil,0.5123202913161099,0.4980988593155893,0.0234456065645343,,0.0545362620455947,0.5184544437123358
Brunei Darussalam,0.5413782618613784,,0.0001483109488297,,0.3517762466869263,0.8311804663519937
Bulgaria,,0.6565272496831431,0.0007040611063716,0.6480541455160745,0.0118075233201484,0.6107114589643057
Burkina Faso,,0.4714828897338403,0.0001670201055912,0.1285956006768189,0.2831368407731649,
Burundi,,,3.398520776783353e-05,0.1472081218274112,0.4287115194727305,0.1933497510720395
Cabo Verde,,,2.3608935937493836e-05,,0.2287506515291546,0.7755718567834882
Cambodia,0.4527685274589575,0.4448669201520912,0.0002608126822484,,0.0414698740121971,0.6390285947300266
Cameroon,0.5018465180633078,0.3422053231939163,0.0004409661161543,0.1708967851099831,0.1204595674141546,0.3787945888382533
Canada,0.8784333999556316,0.959442332065906,0.0199502968580296,0.856175972927242,0.0176464186784729,0.8513835079146909
Cape Verde,0.5373619580897793,,,,,
Caribbean small states,,,0.0004362253658152,,0.0835026899557422,
Cayman Islands,,,6.355687373935571e-05,,,0.8309254399340323
Central African Republic,,,2.3285493040250457e-05,,,0.2312998556269973
Central Europe and the Baltics,,,0.017193034877197,,0.0227637875449054,
Chad,0.280518113044629,,0.0001313019076215,0.0,0.2942363781628932,0.3293759078386069
Channel Islands,,,0.0001179092282638,,,
Chile,0.7487306441971756,0.7300380228136881,0.0032551218368511,0.6446700507614215,0.0719429295630173,0.679317191059384
China,0.5931951360455225,0.4968314321926489,0.1466714594996301,,0.0236160511769256,0.4935714568773924
Colombia,,0.5348542458808618,,0.5076142131979695,0.069558961188168,0.4145317964387407
Comoros,,,,0.1962774957698815,0.0562559469409048,0.6012093842770325
Congo,,,,0.2148900169204738,,
